Company Name,Ticker,Zacks Industry Rank,Zacks Rank,VGM Score
"BG Staffing Inc","BGSF","203","3","A"
"Brighthouse Financial, Inc.","BHF","177","3","C"
"Berkshire Hills Bancorp, Inc.","BHLB","181","5","C"
"BOOHOO GRP PLC","BHOOY","195","3","B"
"BRAEMAR HOTELS  RESORTS INC.","BHR","80","5","A"
"Big Lots, Inc.","BIG","231","2","A"
"BioRad Laboratories, Inc.","BIO","68","3","C"
"Biocept, Inc.","BIOC","63","3","D"
"Biolase, Inc.","BIOL","167","3","C"
"Bioceres Crop Solutions Corp.","BIOX","81","3","B"
"Brookfield Infrastructure Partners LP","BIP","76","4","A"
"BJs Wholesale Club Holdings, Inc.","BJ","212","1","A"
"BJs Restaurants, Inc.","BJRI","167","3","F"
"The Bank of New York Mellon Corporation","BK","247","3","F"
"BlackRock Capital Investment Corporation","BKCC","152","3","B"
"Buckle, Inc. The","BKE","195","4","A"
"The Bank of East Asia Ltd.","BKEAY","165","3","C"
"Berkeley Group Holdings PLC Unsponsored ADR","BKGFY","183","3","A"
"Black Hills Corporation","BKH","76","3","C"
"Bank Hapoalim","BKHYY","165","4","D"
"Black Knight Financial Services, Inc.","BKI","152","3","D"
"Bankinter SA","BKNIY","165","3","F"
"Baker Hughes Company","BKR","78","3","B"
"BankUnited, Inc.","BKU","247","4","F"
"Blue Bird Corporation","BLBD","240","5","A"
"TopBuild Corp.","BLD","203","4","B"
"Ballard Power Systems, Inc.","BLDP","144","3","F"
"Builders FirstSource, Inc.","BLDR","233","5","B"
"BioLife Solutions, Inc.","BLFS","68","2","D"
"BlackRock, Inc.","BLK","161","3","F"
"Blackbaud, Inc.","BLKB","81","2","F"
"Ball Corporation","BLL","50","3","F"
"Bloomin Brands, Inc.","BLMN","167","3","B"
"Blink Charging Co.","BLNK","81","3","F"
"Macro Bank Inc.","BMA","165","1","A"
"BMC Stocks.Stock Holdings, Inc.","BMCH","233","5","B"
"Badger Meter, Inc.","BMI","234","4","C"
"Bank Of Montreal","BMO","165","4","D"
"Bank of Marin Bancorp","BMRC","141","3","C"
"Bryn Mawr Bank Corporation","BMTC","219","5","F"
"BNP Paribas SA","BNPQY","165","4","F"
"Bank of Nova Scotia The","BNS","165","4","C"
"Brenntag AG","BNTGY","192","3","A"
"Bank of Commerce Holdings CA","BOCH","141","3","C"
"Bank of Hawaii Corporation","BOH","141","3","D"
"BOK Financial Corporation","BOKF","218","4","F"
"DMC Global Inc.","BOOM","207","3","D"
"Boot Barn Holdings, Inc.","BOOT","195","5","A"
"Boxlight Corporation","BOXL","75","2","A"
"BP p.l.c.","BP","148","3","D"
"Banco Comercial Portugues S.A. Unsponsored ADR","BPCGY","165","3","C"
"Boston Private Financial Holdings, Inc.","BPFH","219","3","F"
"BP Midstream Partners LP","BPMP","81","3","C"
"Popular, Inc.","BPOP","247","5","D"
"BPOST SA","BPOSY","212","3","A"
"The Bank of Princeton","BPRN","219","3","C"
"Broadridge Financial Solutions, Inc.","BR","223","3","C"
"BellRing Brands, Inc.","BRBR","68","3","C"
"Brady Corporation","BRC","62","3","B"
"Bridgestone Corp.","BRDCY","167","2","A"
"Craft Brew Alliance, Inc.","BREW","167","3","D"
"Barfresh Food Group Inc.","BRFH","121","3","C"
"Bluerock Residential Growth REIT, Inc.","BRG","126","2","A"
"Berkshire Hathaway Inc.","BRK.B","141","3","B"
"Brookline Bancorp, Inc.","BRKL","181","4","F"
"Bruker Corporation","BRKR","195","4","F"
"Brooks Automation, Inc.","BRKS","126","3","F"
"BROADMARK RLTY","BRMK","203","4","F"
"Brown  Brown, Inc.","BRO","81","3","F"
"BRP Group, Inc.","BRP","177","3","B"
"Barloworld Ltd.","BRRAY","183","3","B"
"BRT Realty Trust","BRT","126","2","B"
"Brixmor Property Group Inc.","BRX","181","4","D"
"Banco Santander Chile","BSAC","165","4","B"
"Banco Santander Brasil SA","BSBR","165","3","C"
"Bassett Furniture Industries, Incorporated","BSET","245","3","F"
"Biosig Technologies, Inc.","BSGM","69","2","D"
"OM Asset Management PLC","BSIG","161","4","D"
"Black Stone Minerals, L.P.","BSM","167","3","A"
"Grupo Financiero Santander Mexico S.A. B. de C.V.","BSMX","165","3","C"
"Sierra Bancorp","BSRR","141","3","B"
"Bank7 Corp.","BSVN","247","4","B"
"Boston Scientific Corporation","BSX","68","4","F"
"Barratt Developments PLC Unsponsored ADR","BTDPY","183","5","A"
"British American Tobacco p.l.c.","BTI","73","3","A"
"British Land Company PLC Sponsored ADR","BTLCY","80","3","D"
